dia	operario	maquina	peso
1	A	2	220.3
1	A	2	215.5
1	A	2	219.1
1	A	2	219.2
1	A	1	220.3
1	A	1	208
1	A	1	214.4
1	A	1	219.2
2	B	2	215.8
2	B	2	222
2	B	2	218.9
2	B	2	213.6
2	B	1	216.9
2	B	1	213.4
2	B	1	217.7
2	B	1	217.7
3	B	2	220.4
3	B	2	218.7
3	B	2	218.6
3	B	2	219.6
3	B	1	222.9
3	B	1	219.7
3	B	1	209.4
3	B	1	221.6
4	B	2	221.5
4	B	2	227
4	B	2	219.5
4	B	2	222.5
4	B	1	223.1
4	B	1	215.3
4	B	1	220.4
4	B	1	215.6
5	A	2	215.7
5	A	2	225.3
5	A	2	223
5	A	2	218
5	A	1	216
5	A	1	210.9
5	A	1	221.4
5	A	1	210.9
6	A	2	222.7
6	A	2	215.1
6	A	2	219.6
6	A	2	217.3
6	A	1	212.1
6	A	1	213
6	A	1	218
6	A	1	216.5
7	A	2	216
7	A	2	218.8
7	A	2	217.9
7	A	2	213
7	A	1	216.9
7	A	1	216
7	A	1	213.5
7	A	1	219.2
8	B	2	219.4
8	B	2	218.3
8	B	2	216.7
8	B	2	224.1
8	B	1	216.2
8	B	1	218.4
8	B	1	216.6
8	B	1	214.9
9	B	2	219.8
9	B	2	222.6
9	B	2	219.1
9	B	2	217.7
9	B	1	216.2
9	B	1	212.2
9	B	1	216.9
9	B	1	214.9
10	A	2	220.2
10	A	2	219.5
10	A	2	222.4
10	A	2	219.9
10	A	1	222.9
10	A	1	214.3
10	A	1	219.1
10	A	1	216.7
11	B	2	218
11	B	2	223.9
11	B	2	219.6
11	B	2	221.9
11	B	1	214.9
11	B	1	212.6
11	B	1	219.4
11	B	1	212.3
12	B	2	219.3
12	B	2	219.6
12	B	2	218.8
12	B	2	219.9
12	B	1	219
12	B	1	216.7
12	B	1	216.4
12	B	1	213.5
13	B	2	220
13	B	2	214.1
13	B	2	224.3
13	B	2	217.4
13	B	1	218
13	B	1	219.5
13	B	1	219.5
13	B	1	222.3
14	A	2	223.9
14	A	2	220.6
14	A	2	219.5
14	A	2	219.6
14	A	1	211.8
14	A	1	218.2
14	A	1	218.3
14	A	1	217.4
15	A	2	218.1
15	A	2	218.8
15	A	2	218.4
15	A	2	217.9
15	A	1	214.6
15	A	1	215.7
15	A	1	218
15	A	1	216.4
16	B	2	216.9
16	B	2	221.6
16	B	2	220.6
16	B	2	222.6
16	B	1	215.6
16	B	1	220.4
16	B	1	217.3
16	B	1	216.2
17	B	2	217.9
17	B	2	225.7
17	B	2	222.2
17	B	2	216.1
17	B	1	212.5
17	B	1	214.6
17	B	1	209.7
17	B	1	211.3
18	A	2	224.2
18	A	2	216.2
18	A	2	219.9
18	A	2	220.4
18	A	1	215.8
18	A	1	219.9
18	A	1	216.5
18	A	1	211.9
19	A	2	214.1
19	A	2	219.7
19	A	2	222.4
19	A	2	224.5
19	A	1	213.7
19	A	1	209.7
19	A	1	216.9
19	A	1	213.1
20	A	2	221.1
20	A	2	225
20	A	2	222.7
20	A	2	222.2
20	A	1	212.5
20	A	1	217.5
20	A	1	217.4
20	A	1	215.7
